word,attr,score
numb,a,-0.6306818181818182
shitless,a,-0.375
terror-struck,a,-0.5
terror-stricken,a,-0.5
triskaidekaphobic,a,-0.625
unnerved,a,-0.625
white-lipped,a,0.125
xenophobic,a,-0.75
unafraid,a,0.041666666666666664
fearless,a,0.16666666666666666
unapprehensive,a,-0.625
unshrinking,a,-0.125
unintimidated,a,-0.125
unflinching,a,-0.125
unblinking,a,0.25
unfrightened,a,0.375
aggressive,a,0.17045454545454547
combative,a,0.45000000000000007
bellicose,a,0.5
battleful,a,0.5
militant,a,0.2454545454545455
competitive,a,0.2454545454545455
high-pressure,a,0.0
hard-hitting,a,-0.08333333333333333
hostile,a,-0.3480134924622056
in-your-face,a,0.25
obstreperous,a,-0.4166666666666667
vulturous,a,0.0
vulturine,a,0.0
raptorial,a,0.0
rough,a,-0.008387986175795498
pugnacious,a,-0.08333333333333333
scrappy,a,0.25
truculent,a,-0.25
unaggressive,a,-0.625
nonaggressive,a,-0.625
low-pressure,a,-0.25
agitated,a,-0.375
worked_up,a,-0.25
excited,a,-0.005714285714285713
emotional,a,0.18571428571428572
aroused,a,-0.022763172068169656
overwrought,a,-0.125
distraught,a,-0.125
shaken,a,-0.5
jolted,a,-0.3333333333333333
hectic,a,0.0
feverish,a,-0.20454545454545456
phrenetic,a,-0.25
frenzied,a,-0.5833333333333334
frenetic,a,-0.25
frantic,a,-0.08333333333333333
hysterical,a,-0.3333333333333333
psychedelic,a,-0.3954545454545455
wild-eyed,a,-0.125
unagitated,a,-0.5227272727272728
turbulent,a,-0.5
roily,a,0.0
roiling,a,0.0
roiled,a,-0.4166666666666667
churning,a,0.16666666666666666
churned-up,a,0.25
rippled,a,-0.08333333333333333
seething,a,0.0
stirred,a,-0.3136363636363636
nonturbulent,a,-0.25
unstirred,a,0.25
agreeable,a,0.2215909090909091
disagreeable,a,-0.5965909090909091
vexing,a,-0.8333333333333334
vexatious,a,-0.5
teasing,a,-0.45000000000000007
plaguy,a,-0.5
plaguey,a,-0.16666666666666666
